bone;bhonzo
chest;chipfuva
hand;ruoko
finger;chigunwe
arm;ruoko
leg;gumbo
toe;chigunwe
nail;nzwara
face;meso
nose;mhino
eyes;maziso
ears;nzeve
mouth;muromo
throat;huro
head;musoro
neck;mutsipa
hair;chudzi
stomach;dumbu
back;musana
Monday;Muvhuro
Tuesday;Chipiri
Wednesday;Chitatu
Thursday;China
Friday;Chishanu
Saturday;Mugovera
Sunday;Svondo
January;Ndira
February;Kukadzi
March;Kurume
April;Kubvumbi
May;Chivabvu
June;Chikumi
July;Chikunguru
August;Nyamavhuvhu
September;Gunyana
October;Gumiguru
November;Mbudzi
December;Zvita
one-1;motsi
two-2;piri
three-3;tatu
four-4;mana
five-5;shanu
six-6;tanhatu
seven-7;nomwe
eight-8;sere
nine-9;pfumbamwe
ten-10;gumi
